epoch,d_loss,g_loss,d_real,d_fake,pixel,perceptual,gan,w_pixel,w_perceptual,w_gan,PSNR,phase
1,0.1655108920462867,2.01038014421276,0.7319191542326235,0.2515607327222824,0.3071873272750892,1.99414040294348,2.6335716598174157,0.0030718732727508,1.99414040294348,0.013167858299087,8.876797273416546,1
2,0.0070400076196985,1.885838889608196,0.9146408976293078,0.0796545349499758,0.2668574192360335,1.8557872842339909,5.476610174366072,0.0026685741923603,1.8557872842339909,0.0273830508718303,9.955614398679993,1
3,0.0076610364417052,1.85344765700546,0.9171113067982244,0.0793704051597445,0.2385619829098383,1.8212428607192692,5.963837048586677,0.0023856198290983,1.8212428607192692,0.0298191852429333,10.551135539841802,1
4,0.0222823565561032,1.8202338499181407,0.8894490377575743,0.0960544619490118,0.2113893739148682,1.7873588706932817,6.152218491423364,0.0021138937391486,1.7873588706932817,0.0307610924571168,11.471362125347888,1
5,0.0045102523487431,1.7773590041141885,0.930664877096812,0.0611647454309551,0.1931780489052043,1.741367218541164,6.812000508401908,0.001931780489052,1.741367218541164,0.0340600025420095,11.603924678638665,1
6,0.0131239325770259,1.7764166009192373,0.8468896565484065,0.0617240494318014,0.1832134104242511,1.740374957813936,6.841901176116046,0.0018321341042425,1.740374957813936,0.0342095058805802,12.404195013699365,1
7,0.0025192908005384,1.7892815295387716,0.8483968634231418,0.0182046467693997,0.1721667285059012,1.7493216407065295,7.64764591291839,0.001721667285059,1.7493216407065295,0.0382382295645919,12.461894028244783,1
8,0.0055204256990976,1.780910765423494,0.8455203403444851,0.0688945673310252,0.1577996897931192,1.7416833662519269,7.529884011137719,0.0015779968979311,1.7416833662519269,0.0376494200556886,13.262000526457015,1
9,0.0080669100570958,1.742614187446295,0.824758300594255,0.0565370036672581,0.1401047193828751,1.7024649101145126,7.749646186828613,0.0014010471938287,1.7024649101145126,0.038748230934143,12.603392883646636,1
10,0.0059406936736338,1.751713098264208,0.8560513456662496,0.0756857148919473,0.1276822136897666,1.7119696981766646,7.693316730798459,0.0012768221368976,1.7119696981766646,0.0384665836539923,14.00635618706631,1
11,0.0487465356983354,1.7123335740145516,0.7399800730750477,0.1122503620241403,0.1180122640787386,1.6783599082161398,6.558711126738904,0.0011801226407873,1.6783599082161398,0.0327935556336945,13.643161885206329,1
