model,PSNR,SSIM,params_M
Bicubic,18.15295067570725,0.4805377044560485,
SRCNN,18.40262828200271,0.5206484661918271,0.057281
VDSR,18.350688753851706,0.5080542475435046,0.664704
EDSR,19.013712058374317,0.5433044425017315,1.554523
SRGAN,18.299905332264604,0.5186635873179667,0.771146
ESRGAN,17.868294231679165,0.49292090507180764,5.906627
SwinIR,19.041455103407245,0.5482904660449489,11.937127
HAT,19.05547841940054,0.5505056908312463,20.809435
