model,patch,PSNR,SSIM
SwinIR,AOI_Munich_16_y0192_x0256,20.003760547489648,0.6526771565670757
SwinIR,AOI_Paris_1_2_y0192_x0000,18.037847666099708,0.6010746792714082
SwinIR,AOI_Paris_1_6_y0064_x0192,18.964845107349472,0.5355812620441048
SwinIR,AOI_Paris_1_6_y0192_x0064,19.867246624020403,0.5168586752306633
SwinIR,AOI_Seoul_14_y0256_x0128,19.035269003874504,0.5243087369951059
SwinIR,AOI_Seoul_1_y0384_x0064,18.158224522389983,0.44293054093135087
HAT,AOI_Barcelona_12_y0064_x0256,19.727577684178094,0.5863351989747375
HAT,AOI_Barcelona_2_y0384_x0064,18.368197965443095,0.536493416587092
HAT,AOI_Busan_7_y0064_x0192,19.074416750324577,0.48114469244006003
HAT,AOI_Munich_11_y0576_x0192,19.324697413278464,0.6293562577212279
HAT,AOI_Munich_16_y0192_x0256,19.926426655175256,0.6575220722300953
HAT,AOI_Paris_1_2_y0192_x0000,18.062814288914446,0.6070302037558468
HAT,AOI_Paris_1_6_y0064_x0192,18.892597582040192,0.534053064490272
HAT,AOI_Paris_1_6_y0192_x0064,19.795957480962095,0.5153461814694618
HAT,AOI_Seoul_14_y0256_x0128,18.902728192868206,0.5159729552197082
HAT,AOI_Seoul_1_y0384_x0064,18.164399301165204,0.4508071816592749
