Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,image,adversarial,perception,tv,w_image,w_adversarial,w_perception,w_tv
1,0.9241284345512959,0.02878907028196463,0.3545354744836466,0.2961205392056585,19.073909959852532,0.49505043278137845,0.025700723724578742,0.7213360857014632,0.39450178573380656,0.013371290583441506,0.025700723724578742,0.0007213360857014632,0.00236701071440284,2.6742581166883014e-10
2,0.903698902818101,0.01441258954727531,0.487199151100804,0.4057885065897187,19.84952799998404,0.6285746643940607,0.011852961751766762,0.6091019484534193,0.32508759934510756,0.007416901878308301,0.011852961751766762,0.0006091019484534193,0.001950525596070646,1.4833803756616604e-10
3,0.9783536290647972,0.011392676378067453,0.6080905319149814,0.59092460246525,20.36522670721682,0.681902880469958,0.009177896143192083,0.4135558367961675,0.3002040575985885,0.008581813712099299,0.009177896143192083,0.0004135558367961674,0.0018012243455915308,1.7163627424198595e-10
4,0.9836024716125792,0.01102206333591348,0.5990069034087717,0.5787165268736693,21.316586778538454,0.7326008975505829,0.009028568004364546,0.4173906285371353,0.2626841201711057,0.010264484137667352,0.009028568004364546,0.00041739062853713533,0.0015761047210266345,2.052896827533471e-10
5,0.964297235308595,0.009877274526440683,0.41078833809047854,0.37556273283036323,20.027458664171718,0.7198704779148102,0.007753664414532742,0.624914427894858,0.24978262186050415,0.011325588199629713,0.007753664414532742,0.000624914427894858,0.0014986957311630248,2.265117639925943e-10
6,1.0013968173544205,0.009353725323036535,0.0006400539588277063,0.0018938869734404123,21.635387205808808,0.7620181987682978,0.006991385373365672,0.997963129584469,0.227396129079126,0.012480347143921686,0.006991385373365672,0.0009979631295844687,0.0013643767744747563,2.496069428784337e-10
7,0.9999500860029192,0.00891580826496307,9.87959683483206e-05,4.392254917098315e-05,21.67941654023577,0.7787363231182098,0.006621284465958823,0.9999511230051221,0.21576211078843074,0.012833732500005125,0.006621284465958823,0.0009999511230051222,0.0012945726647305845,2.566746500001025e-10
8,1.0027951316453925,0.00747317951450597,0.00457369402908867,0.008566413071274107,24.082401206276316,0.8073496421178182,0.0053392365964046165,0.9926311673216559,0.19021858979220413,0.014428877433882424,0.0053392365964046165,0.0009926311673216558,0.0011413115387532249,2.8857754867764844e-10
9,0.9999988612843983,0.007542421072906819,9.098422655602975e-06,8.040616439790515e-06,24.52202811524164,0.8301256547371546,0.005418604140202353,0.9999920361077608,0.18730409925256797,0.015453692544159011,0.005418604140202353,0.000999992036107761,0.0011238245955154079,3.090738508831802e-10
10,1.0000012371670548,0.006263791877702249,3.5503583024620866e-06,4.5112531580995366e-06,24.473433530799966,0.8478280256191889,0.004289581801797917,0.999995211167122,0.16236906873052986,0.015519885652100862,0.004289581801797917,0.000999995211167122,0.0009742144123831792,3.1039771304201726e-10
11,1.0000007899839487,0.006245825930836782,6.632664094382053e-06,7.007555801672516e-06,16.61692527343763,0.7638035416603088,0.004316335321584744,0.9999925746253474,0.1549162625969939,0.01688313491142063,0.004316335321584744,0.0009999925746253476,0.0009294975755819633,3.3766269822841263e-10
12,0.9999947808868256,0.007744055468385196,8.04204132776844e-06,2.762804636422986e-06,23.31715104270583,0.8449691087007523,0.005732038973446064,0.9999971745619133,0.16866982057319946,0.015443482487207621,0.005732038973446064,0.0009999971745619134,0.0010120189234391968,3.0886964974415235e-10
13,1.0000012490286756,0.00680528063586547,6.036070168171471e-06,6.477818819848609e-06,24.448517535187833,0.8252693663040797,0.004868442456780085,0.999992708068582,0.1561408502545523,0.01720917325893148,0.004868442456780085,0.000999992708068582,0.0009368451015273136,3.441834651786297e-10
14,0.9999994187805783,0.005657357634022016,6.541182822172312e-06,6.771660563506546e-06,25.436128281647076,0.8653394430875778,0.0037527485340555656,0.9999940407216845,0.15076909925955445,0.016961263131294677,0.0037527485340555656,0.0009999940407216844,0.0009046145955573267,3.3922526262589354e-10
15,0.9999976923216635,0.005645086599597291,5.4651857232073695e-06,3.5342013749425987e-06,23.613855562001966,0.8616948078076044,0.0038465121065947546,0.9999968400642053,0.13309619323679464,0.017331914401691944,0.0038465121065947546,0.0009999968400642052,0.0007985771594207678,3.46638288033839e-10
16,0.9999962374938661,0.011097459854622979,7.515467420253504e-06,5.0907328641135295e-06,8.041498925788195,0.16589944514756402,0.00899661111816838,0.9999962493554869,0.183475373989314,0.016265857519943323,0.00899661111816838,0.0009999962493554872,0.001100852243935884,3.2531715039886643e-10
17,0.9999897106369929,0.01040115843142443,1.4123348131279408e-05,1.1706971934150847e-05,12.391992156001487,0.6185904517769814,0.00795259298895722,0.9999961683999247,0.241428178044694,0.017622875485254163,0.00795259298895722,0.0009999961683999246,0.0014485690682681637,3.5245750970508335e-10
18,1.0000271844626658,0.05227846470638294,8.235339897990789e-06,3.975896748268064e-06,11.026355068558827,0.16844509790341058,0.04894787310367793,0.9999645812001394,0.3884377188943512,0.056907034928525856,0.04894787310367793,0.0009999645812001398,0.0023306263133661066,1.1381406985705173e-09
19,0.9999970606903532,0.07751195811068834,7.718125071373136e-06,3.984955660091548e-06,12.677333900055936,0.2785595382253329,0.0733411193487063,0.9999952268837696,0.528473443059779,0.10419925995430543,0.0733411193487063,0.0009999952268837694,0.0031708406583586743,2.0839851990861086e-09
20,0.999993670639114,0.044573720044164516,8.275985011384606e-06,1.7844417452351708e-06,12.573607196173587,0.37290609007080394,0.041114728638337025,0.999998047577208,0.40983227547721485,0.05704108166012598,0.041114728638337025,0.0009999980475772084,0.002458993652863289,1.1408216332025197e-09
21,0.9999905439158577,0.026572637537966914,1.0308627723781246e-05,9.005187519144784e-07,15.430841751316127,0.5972891723116239,0.023658631249001964,0.9999991507079471,0.319001150961539,0.031610115269078545,0.023658631249001964,0.0009999991507079469,0.0019140069057692341,6.322023053815708e-10
22,0.9999931534724449,0.017007012179686656,9.11336119354349e-06,2.5208802221689398e-06,23.16822765896065,0.7569006085395813,0.01434673521834523,0.9999977273134449,0.27671318653211074,0.019411070652269012,0.01434673521834523,0.000999997727313445,0.0016602791191926646,3.882214130453802e-10
23,0.9999925912316165,0.009016749796582691,1.2090053149736629e-05,4.156607911834482e-06,22.023148629382412,0.7768688251574835,0.0067348429210372825,0.9999953265213848,0.21365188647858538,0.015602720373157245,0.0067348429210372825,0.0009999953265213846,0.0012819113188715125,3.12054407463145e-10
24,0.9999854552805127,0.007248656991035191,2.1888241809803834e-05,7.882175936059768e-06,21.516569855723354,0.8216829597949982,0.005034722271954539,0.9999926576566933,0.2023236162923462,0.0163887919005544,0.005034722271954539,0.0009999926576566935,0.001213941697754077,3.2777583801108806e-10
25,0.9999869620029013,0.007429610798830416,3.005419045209901e-05,1.6552564180309407e-05,25.19118406015917,0.8276384522517523,0.005336172329678909,0.9999829871737542,0.18224249350194313,0.016835184573237575,0.005336172329678909,0.000999982987173754,0.0010934549610116587,3.3670369146475156e-10
26,1.0000332671018382,0.006174657584181917,4.932265387187856e-05,7.517301199346471e-05,24.975235862258675,0.8461737483739853,0.004162405144923658,0.999917412278664,0.16872240951405235,0.01635089692710644,0.004162405144923658,0.0009999174122786642,0.0010123344570843141,3.270179385421288e-10
27,0.9999964035565581,0.005746904223119442,2.202500468446523e-05,1.8679154994511033e-05,24.694918530136455,0.8544313609600067,0.003784279871861733,0.9999815789028187,0.16044036421313215,0.01607196512099226,0.003784279871861733,0.0009999815789028187,0.0009626421852787928,3.214393024198452e-10
28,0.9999986975940306,0.006767687346063443,1.1531997346397235e-05,1.0871596897677059e-05,25.034061164360352,0.8399631281693777,0.004774967231671905,0.9999897657935299,0.16545499097648544,0.016773945786318377,0.004774967231671905,0.0009999897657935299,0.0009927299458589128,3.3547891572636755e-10
