Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM,image,adversarial,perception,tv,w_image,w_adversarial,w_perception,w_tv
1,0.870770352396799,0.0452840832891452,0.4765668207042808,0.3602699130328733,13.0780933535277,0.223630012323459,0.0418722876787778,0.6526628281939683,0.4598554885802577,0.0125836590582977,0.0418722876787778,0.0006526628281939,0.0027591329314815,2.516731811659549e-10
2,0.8633805863299773,0.0286597729804207,0.543742079491639,0.4038346781214671,12.955004912412951,0.2646831988046567,0.0253253284823242,0.5928773340301134,0.4569278627782319,0.0035442730912299,0.0253253284823242,0.0005928773340301,0.0027415671766693,7.088546182459859e-11
3,0.9743037965167222,0.0248919257069405,0.6617763717079637,0.6411959788395991,12.003210093974763,0.2876351413627465,0.0219040322974694,0.3639198292547198,0.4373289555756013,0.0023448111684019,0.0219040322974694,0.0003639198292547,0.0026239737334536,4.6896223368039756e-11
4,0.9117384318688616,0.0222175745710508,0.4270989402609678,0.3503918118441282,13.357467059166462,0.3143708705902099,0.0190412451452876,0.6611626225324413,0.4191944691079173,0.0020197341403928,0.0190412451452876,0.0006611626225324,0.0025151668146475,4.039468280785713e-11
5,0.9468035460704596,0.0216846373951553,0.6288206230348615,0.5659153381390358,13.113804981868975,0.3125779504577319,0.0188313273768594,0.4243758282258142,0.4048223790541217,0.002409709872335,0.0188313273768594,0.0004243758282258,0.0024289342743247,4.819419744670096e-11
6,0.9655815404445972,0.0214212894606501,0.6903983161817142,0.6518188631949733,13.355313097214555,0.3375045669575532,0.0187166662729201,0.3440201501941206,0.3934338539097439,0.003186165730455,0.0187166662729201,0.0003440201501941,0.0023606031234584,6.372331460910057e-11
7,0.999621798149982,0.019412714237375,0.7249004695545974,0.7328763105976048,9.994265269095564,0.3172162746389707,0.0168653480541795,0.2754777319988801,0.3786480459407787,0.0037177441206144,0.0168653480541795,0.0002754777319988,0.0022718882756446,7.43548824122889e-11
8,0.9658948930341806,0.0205474431760868,0.5851826061360279,0.5514143976702619,12.930783689797256,0.3409831809500853,0.0178089976051257,0.4489225066123317,0.3815871787011919,0.0034841910115818,0.0178089976051257,0.0004489225066123,0.0022895230722071,6.968382023163697e-11
9,0.966200360907844,0.0194757503100592,0.5730607734983834,0.5380109655323313,12.894704566735252,0.3539970107376575,0.0168181171279345,0.4607388727107451,0.3661490511241836,0.0039381551375584,0.0168181171279345,0.0004607388727107,0.0021968943067451,7.876310275116963e-11
10,0.9781190056112868,0.0190027278861892,0.5957640320507448,0.580244054841758,12.875562210062968,0.3717449617882569,0.016392553957244,0.4261169623379683,0.3640094848711099,0.0041470850507418,0.016392553957244,0.0004261169623379,0.0021840569092266,8.294170101483663e-11
11,0.939317824235603,0.0187059431776997,0.6632849749047958,0.6067099589020458,13.323654818416962,0.3807881673177083,0.016227455452937,0.3973972008596012,0.3468483759099571,0.004218626966635,0.016227455452937,0.0003973972008596,0.0020810902554597,8.437253933270179e-11
12,1.003361350268274,0.0186110236195485,0.4316499403756649,0.4369531887680737,12.733704933418492,0.3724304102361202,0.01596664780964,0.5649887139524393,0.3465645296211859,0.0041134112065111,0.01596664780964,0.0005649887139524,0.0020793871777271,8.226822413022246e-11
13,1.020726693803398,0.0188526373671655,0.2944084661062899,0.3127125056821908,10.080554656542311,0.3463721312582493,0.0160736317250562,0.684864851372752,0.3490234349497515,0.0042108668811359,0.0160736317250562,0.0006848648513727,0.0020941406096985,8.421733762271961e-11
14,1.0410632713517147,0.0218542906182322,0.3725890280002385,0.4207035441007187,11.374418062900524,0.2987223317225774,0.0191004475699135,0.5863477080615599,0.3612492053366419,0.0048048027480642,0.0191004475699135,0.0005863477080615,0.0021674952320198,9.6096054961284e-11
15,1.012058615091428,0.0223864631180591,0.4763780236244201,0.4806146538672756,12.584095260404062,0.3548625583449999,0.0196781609744871,0.5115633663253405,0.3661230806984119,0.0052042343927111,0.0196781609744871,0.0005115633663253,0.0021967384841904,1.0408468785422358e-10
16,0.9920714494600816,0.0176773972772247,0.6389606589108557,0.63348664573176,12.099357050605166,0.3495948538184166,0.0151956455216775,0.3689678842155494,0.352130644653567,0.0045772040012612,0.0151956455216775,0.0003689678842155,0.0021127838679214,9.154408002522455e-11
17,1.0013816730299991,0.0193277830489684,0.6011875707711747,0.6037281143724622,13.236648831458217,0.386141171058019,0.0168705033879745,0.3974307467095294,0.3433081083629855,0.0048338446478864,0.0168705033879745,0.0003974307467095,0.0020598486501779,9.667689295772888e-11
18,1.0073269255718782,0.0176719542759567,0.731689438891055,0.7378648383107351,13.250972902890092,0.372351956864198,0.0152932012740948,0.2609836426540394,0.3529615498597349,0.0048198702453232,0.0152932012740948,0.000260983642654,0.0021177692991584,9.639740490646506e-11
19,0.9991691210376684,0.0167776467510272,0.7467301760739948,0.7488832610163523,12.970707923769808,0.3824879291156928,0.0145143306355423,0.2541007052606611,0.3348692443536882,0.0046453543878461,0.0145143306355423,0.0002541007052606,0.0020092154661221,9.290708775692316e-11
20,0.9775809850265732,0.0175147415671627,0.5824431177988574,0.5599883682099148,13.489624990249514,0.3887813836336136,0.0150749364413728,0.4399758950987859,0.3333048360857797,0.0050790452430793,0.0150749364413728,0.0004399758950987,0.0019998290165146,1.0158090486158779e-10
21,0.9934231950275934,0.016929301660304,0.4805009516317453,0.4767277454262349,13.110288329542952,0.387117225676775,0.0143968855582214,0.5260758533406613,0.3343900022518575,0.0049733685941171,0.0143968855582214,0.0005260758533406,0.0020063400135111,9.94673718823426e-11
22,1.0094758628019649,0.0180765261030315,0.465761101216226,0.4819890363002891,13.09302430980231,0.3801129447917143,0.0155411336098366,0.5247630432470521,0.335104879010376,0.005149705316964,0.0155411336098366,0.000524763043247,0.0020106292740622,1.029941063392815e-10
23,1.0135608929306714,0.0170066716028979,0.5959761852945261,0.6106919640332312,12.96035421400888,0.3973321778078874,0.0146518703179424,0.3904629237023159,0.3273897356358333,0.0049000504329355,0.0146518703179424,0.0003904629237023,0.001964338413815,9.800100865871159e-11
24,1.001942627465547,0.0170460439365894,0.7213896495192799,0.7244689618770163,13.434706724888306,0.3970393252869447,0.0148019731897323,0.2766677253874973,0.3279004862059408,0.0048579961311683,0.0148019731897323,0.0002766677253874,0.0019674029172356,9.715992262336746e-11
25,0.9996432914069636,0.0175918897252474,0.5469967429317645,0.5507313557228639,13.270805582377813,0.3960951852301757,0.0152014469570336,0.4533599704059202,0.3228471074531327,0.005123419928091,0.0152014469570336,0.0004533599704059,0.0019370826447187,1.0246839856182166e-10
26,1.012375010779841,0.0174332520929142,0.5940410883272466,0.6058210739448889,12.5520080080444,0.3810542983313401,0.0150685561125847,0.3935839032652366,0.3285186750378774,0.00513770962273,0.0150685561125847,0.0003935839032652,0.0019711120502272,1.0275419245460139e-10
27,0.9983681084504769,0.0194844837249511,0.3965944373489019,0.4022542706769497,13.639645923052168,0.391094759106636,0.0169039218181475,0.6050374543488916,0.3292540786278188,0.0050977812199598,0.0169039218181475,0.0006050374543488,0.0019755244717669,1.0195562439919704e-10
28,1.0208606583562063,0.0175310204556184,0.3389375295805101,0.361663793894782,13.36338953406269,0.3949825589855512,0.0148956783078796,0.6402018108771215,0.3325233930972085,0.0050193001701501,0.0148956783078796,0.0006402018108771,0.0019951403585832,1.003860034030024e-10
29,1.005429047257153,0.0170495026601265,0.339791205391955,0.3503009537559243,13.469115057917971,0.3993331715464592,0.0145039984872981,0.6547797544678645,0.3151207397974546,0.0052248696745628,0.0145039984872981,0.0006547797544678,0.0018907244387847,1.0449739349125631e-10
30,0.9909685381609408,0.0163516005111941,0.3864519382590678,0.3801190698917825,12.922763232206387,0.4014722866316636,0.0137801681140168,0.6225795271384775,0.3248088236768447,0.0048486993263535,0.0137801681140168,0.0006225795271384,0.001948852942061,9.69739865270717e-11
31,0.9982948955611803,0.022158449932710447,0.410536165854231,0.41111986524430083,11.646305312379923,0.3337487441798051,0.019435542584651737,0.5911689394742102,0.3552897372352543,0.005743106136756453,0.019435542584651737,0.0005911689394742103,0.0021317384234115257,1.1486212273512906e-10
32,0.9894276228710194,0.022737211617293644,0.5016202072599041,0.49482400544840305,13.195847372276635,0.37243033200502396,0.020214388332334323,0.5089521722414008,0.335645171243753,0.005131979876044971,0.020214388332334323,0.0005089521722414007,0.0020138710274625183,1.026395975208994e-10
33,0.9888104410906929,0.018851847865095184,0.43982387330401596,0.42865064873624203,12.65626863091056,0.38777633508046466,0.016279394372333934,0.5713656761159944,0.3335146527385237,0.0051739521797246005,0.016279394372333934,0.0005713656761159945,0.0020010879164311423,1.0347904359449205e-10
34,1.0024113453442778,0.017531111521359107,0.8278748840834964,0.8319719175794231,13.276961858901181,0.39831890414158505,0.015385869427106867,0.16971377057222584,0.32925471277972357,0.005489331660838566,0.015385869427106867,0.0001697137705722258,0.001975528276678342,1.0978663321677136e-10
35,0.9955778163463915,0.016978172094222917,0.9665403318642384,0.9659671881305638,12.730763693932811,0.35092246532440186,0.014998682779236813,0.037881847044721764,0.32360122289823656,0.005118225666402436,0.014998682779236813,3.788184704472177e-05,0.00194160733738942,1.0236451332804871e-10
36,0.9970162875616728,0.017190626966048828,0.8851218176125294,0.8838510299796489,12.426030649900513,0.36784373596310616,0.015062992623196313,0.11786190194277028,0.33496209371149244,0.005872801733921416,0.015062992623196313,0.00011786190194277032,0.0020097725622689544,1.1745603467842836e-10
37,0.998369380609313,0.01631122755248155,0.9953335363473466,0.9937108998274922,12.970121474304738,0.38295142725110054,0.014385601403701365,0.006297087787988767,0.3198882018155719,0.0049536628648638725,0.014385601403701365,6.297087787988768e-06,0.0019193292108934318,9.907325729727745e-11
38,1.0000000664250768,0.016768430605234197,0.9999997746292039,0.9999997532782863,12.55401432601149,0.38883979494373005,0.014781673100605533,1.5894571940104166e-07,0.33112623279367515,0.005522768629427573,0.014781673100605533,1.589457194010417e-10,0.0019867573967620508,1.1045537258855144e-10
39,0.999998216012224,0.016224443801303407,0.9999995658646769,0.9999993120259907,13.104480349991071,0.3936198527614276,0.014291957428502798,2.2133784507637593e-06,0.3220806863177475,0.005457864629466142,0.014291957428502798,2.2133784507637594e-09,0.0019324841179064855,1.0915729258932285e-10
40,0.9999995468860835,0.018082846887409687,0.9999996726192645,0.9999993784510675,11.464997174258297,0.35054700324932736,0.016102715937504126,7.804946519842195e-07,0.3300217057935041,0.005635182950089672,0.016102715937504126,7.804946519842195e-10,0.001980130234761025,1.1270365900179345e-10
41,0.9999979176924596,0.020305184119228107,0.9999998926523312,0.9999987996039699,12.809019474798067,0.37666041652361554,0.01825324604426747,2.1872828848919464e-06,0.3419893253501968,0.005702187895626571,0.01825324604426747,2.187282884891947e-09,0.002051935952101181,1.1404375791253143e-10
42,0.9999998624051981,0.018788392437779487,0.9999997390443413,0.9999997746292039,12.665286312308675,0.3830895634988944,0.016781436131145824,3.9855046058768655e-07,0.33449263329529644,0.006627619725221128,0.016781436131145824,3.985504605876865e-10,0.0020069557997717783,1.325523945044226e-10
43,0.9999994780886826,0.016370500831758204,0.9999998125863906,0.9999993713340949,12.931452236672827,0.3851282683511575,0.01441572791901394,7.069526027091107e-07,0.3257953701031149,0.005086120180970994,0.01441572791901394,7.069526027091106e-10,0.0019547722206186896,1.0172240361941989e-10
44,1.000000097265291,0.01636876841423227,0.9999997793738522,0.999999874266819,12.297650911783657,0.37954818084836006,0.014413999467717474,1.1624388433807525e-07,0.3257947866596393,0.00520635549145848,0.014413999467717474,1.1624388433807525e-10,0.0019547687199578355,1.0412710982916962e-10
45,0.9999998695221707,0.01626089425637058,0.9999998573640093,0.9999997129487754,13.062661187172909,0.404054185996453,0.014370827347188447,2.728172795689521e-07,0.31501111165801093,0.0055468762826304235,0.014370827347188447,2.728172795689521e-10,0.001890066669948066,1.1093752565260847e-10
46,1.0000004222737022,0.017333030255872812,0.9999992550902106,0.9999996678746161,13.313468637226846,0.3847594124575456,0.015357969470081194,3.2026376297224816e-07,0.32917673270500714,0.005516340724419599,0.015357969470081194,3.202637629722482e-10,0.0019750603962300425,1.1032681448839201e-10
47,1.0000000085996752,0.016607268504909616,0.9999995584511638,0.9999996530475901,13.169895170083784,0.3781571003297965,0.014701006795043376,4.210875402042522e-07,0.31771021577256237,0.005302438069950437,0.014701006795043376,4.2108754020425224e-10,0.0019062612946353745,1.0604876139900874e-10
48,1.000000279934252,0.015896317145940083,0.9999993903126883,0.9999995065565727,13.16906988001853,0.4046717472374439,0.014019674246213329,3.2738073548274253e-07,0.3127737681367504,0.005315642752939493,0.014019674246213329,3.273807354827426e-10,0.0018766426088205025,1.0631285505878984e-10
49,0.999999622800457,0.015463523010709393,0.9999997437889896,0.9999994591100893,13.158179901919183,0.3997409716248512,0.013595495502747114,6.405275259444963e-07,0.3113378339738988,0.005421996839455704,0.013595495502747114,6.405275259444963e-10,0.0018680270038433928,1.0843993678911408e-10
50,0.9999999169686541,0.015619287091256375,0.9999996892255337,0.9999992977920457,13.291084692457114,0.4074450097978115,0.013706588519931728,3.8906116390702734e-07,0.3187830680934944,0.005581428788009271,0.013706588519931728,3.890611639070274e-10,0.0019126984085609663,1.1162857576018544e-10
51,1.0000004507415923,0.015630699953629604,0.9999993950573366,0.9999998410542806,13.216817568713955,0.398627204199632,0.013719986197515507,1.6131804357120647e-07,0.3184522664665583,0.005595321734598027,0.013719986197515507,1.6131804357120648e-10,0.0019107135987993498,1.1190643469196051e-10
