epoch,l1,lr,PSNR,phase
1,0.1144857517077555,0.0002,14.470534696304432,1
2,0.0893234982530572,0.0002,14.80078896909336,1
3,0.083187184449452,0.0002,14.850508931592776,1
4,0.080334812754867,0.0002,14.987638753199477,1
5,0.0796210203894335,0.0002,14.87557850965207,1
6,0.080267974115278,0.0002,15.13829610994792,1
7,0.0792342652914239,0.0002,15.110643812830409,1
8,0.0775657036151755,0.0002,15.082453717865643,1
9,0.0768281956439587,0.0002,15.16279290405479,1
10,0.0775693545108707,0.0002,15.02473948858082,1
11,0.0766374661184069,0.0002,15.05892411692784,1
12,0.0756828204649894,0.0002,15.08283129126064,1
13,0.0740044858139842,0.0002,15.144806145304957,1
14,0.0756674394456308,0.0002,14.987636786009034,1
15,0.0747164186294102,0.0002,15.067358752300953,1
16,0.0753998784394703,0.0002,15.377924873134887,1
17,0.0757656462620295,0.0002,15.225632425463354,1
18,0.0742873068324369,0.0002,15.062541608495152,1
19,0.0738724468563178,0.0002,15.172711271900878,1
20,0.0738400425669269,0.0002,15.243973172642866,1
21,0.0738373924398896,0.0002,15.211980997556958,1
22,0.073789388997786,0.0002,15.246662292258945,1
23,0.0734867487677294,0.0002,15.280431331631702,1
24,0.0738382088344785,0.0002,15.17379192500676,1
25,0.0743615664078376,0.0002,15.276219554303331,1
26,0.0736160224387005,0.0002,15.266698825956526,1
27,0.0732366051895553,0.0002,15.164933743644704,1
28,0.0728329427966579,0.0002,15.154780188463922,1
29,0.0725343615298544,0.0002,15.245059949720906,1
30,0.0722493529690438,0.0002,15.067072831276851,1
31,0.0720585482704698,0.0002,15.264989912624456,1
32,0.0718664292301704,0.0002,15.197120660330746,1
33,0.0730449151414543,0.0002,15.261264649115574,1
34,0.0724186213566592,0.0002,15.265386870003988,1
35,0.0719216724218272,0.0002,15.340834062822363,1
36,0.0715644353287136,0.0002,15.25554125283424,1
37,0.0711494898284549,0.0002,15.22448545215414,1
38,0.0717409386563656,0.0002,15.2950048135776,1
39,0.071999562190688,0.0002,15.207680844927772,1
40,0.0707453598652906,0.0002,15.197295768443928,1
41,0.0709564072167992,0.0002,15.125761266044798,1
42,0.0711812364280372,0.0002,15.40820101709915,1
43,0.0709696597980326,0.0002,15.354815613933487,1
44,0.0703460038338431,0.0002,15.44317590436153,1
45,0.0699374358452374,0.0002,15.241102299203597,1
46,0.0716279252659325,0.0002,15.203850507015211,1
47,0.0699636026179019,0.0002,15.3185382540297,1
48,0.0702599873627299,0.0002,15.323133424338527,1
49,0.0696676453084346,0.0002,15.206151217954408,1
50,0.0698737938568663,0.0001,15.190648855349009,1
51,0.069367583702082,0.0001,15.18678385343703,1
52,0.0684978059256699,0.0001,15.25756750945198,1
53,0.0687696578361057,0.0001,15.242976295490458,1
54,0.0667552577322395,0.0001,15.356689884528926,1
55,0.0678249652316766,0.0001,15.373315848092268,1
56,0.0677496392224262,0.0001,15.28190684097184,1
57,0.0677223663999518,0.0001,15.441003500077311,1
58,0.0678155569183589,0.0001,15.280456542934184,1
59,0.0673610734294599,0.0001,15.316630866477103,1
60,0.0665251171188568,0.0001,15.133395693969222,1
61,0.06788296097732,0.0001,15.342510287722654,1
62,0.0671864222661031,0.0001,15.219889033410269,1
63,0.0681066604433071,0.0001,15.394933478127134,1
64,0.067684326626694,0.0001,15.252075875750164,1
65,0.0667158930344664,0.0001,15.29766779394779,1
66,0.066898807679391,0.0001,15.208446871990708,1
67,0.066495129310373,0.0001,15.266252887832335,1
68,0.0674783446320995,0.0001,15.254107353088642,1
69,0.0669271151780785,0.0001,15.240720326820869,1
70,0.0673458846517611,0.0001,15.110026175161256,1
71,0.0675260373924057,0.0001,15.231376588620115,1
72,0.0671686002363761,0.0001,15.15439129632516,1
73,0.0670057260871526,0.0001,15.199387954800514,1
74,0.0666622757003526,0.0001,15.290427828035837,1
75,0.0661551822162238,5e-05,15.362292993809644,1
76,0.0658826195074254,5e-05,15.297210916346032,1
77,0.0663117814753482,5e-05,15.365520658241772,1
78,0.0658091561433242,5e-05,15.365353639110852,1
79,0.0657710147308028,5e-05,15.36023273344341,1
80,0.0649445473091371,5e-05,15.281594047042091,1
81,0.0650338044492018,5e-05,15.332075343004158,1
82,0.0645993232208104,5e-05,15.222502161329537,1
83,0.0652829011374,5e-05,15.186637050020302,1
84,0.0652466137054844,5e-05,15.237400880141292,1
85,0.0649351004270178,5e-05,15.370273801326908,1
86,0.0653447749843793,5e-05,15.264289405965316,1
87,0.0657548166867067,5e-05,15.305834849494026,1
88,0.0649042171124943,5e-05,15.309768999742902,1
89,0.0652496432375848,5e-05,15.363790527499274,1
90,0.0652046878891649,2.5e-05,15.234534862350325,1
91,0.0642697635148443,2.5e-05,15.317533777528702,1
92,0.0651597252662353,2.5e-05,15.241660198657623,1
93,0.0642227251453334,2.5e-05,15.40994480882307,1
94,0.0648639949585371,2.5e-05,15.408850468951258,1
95,0.0644269795967868,2.5e-05,15.326418050597487,1
96,0.0634009546104503,2.5e-05,15.335688793449828,1
97,0.0644699432493294,2.5e-05,15.33301064152298,1
98,0.0646180489485091,2.5e-05,15.283950092624307,1
99,0.0639757956864673,2.5e-05,15.1222631231479,1
100,0.0644345329472081,2.5e-05,15.14119457900597,1
101,0.0651403007178026,3.125e-06,15.584207103670892,2
102,0.0649876513184956,3.125e-06,15.518914458989268,2
