epoch,l1,lr,PSNR,phase
1,0.1137864566454202,0.0002,14.500967307435886,1
2,0.0908356672613927,0.0002,14.90131455397776,1
3,0.0838205774526784,0.0002,14.908083131009992,1
4,0.0817172779231378,0.0002,15.167696421586326,1
5,0.0812360190297707,0.0002,14.949389869266923,1
6,0.0790979832705884,0.0002,15.028778923328248,1
7,0.0790184833994596,0.0002,15.03248162918529,1
8,0.0780687750418587,0.0002,14.756698596821357,1
9,0.077472863589773,0.0002,15.051570939156264,1
10,0.0765560051370965,0.0002,15.030451774846457,1
11,0.0777679820462028,0.0002,15.08762085528808,1
12,0.0770681099873958,0.0002,14.988409291199702,1
13,0.0753515498472912,0.0002,15.148595983969868,1
14,0.0756046194398757,0.0002,15.187899328307475,1
15,0.0757782275945243,0.0002,14.960018329150818,1
16,0.0756135480386195,0.0002,15.04244221385172,1
17,0.0766305069964711,0.0002,15.043679607596385,1
18,0.0754869129914458,0.0002,15.023899391173876,1
19,0.0755465917363025,0.0002,14.979908198400269,1
20,0.0741534922456387,0.0002,14.969599194898004,1
21,0.0744394682864151,0.0002,14.989714707951949,1
22,0.0751302986968271,0.0002,15.11408030592577,1
23,0.0756337368621094,0.0002,14.951964793011916,1
24,0.0738498903810978,0.0002,15.130007297430602,1
25,0.0748481408573023,0.0002,15.103417443364592,1
26,0.0744812018284113,0.0002,15.195730161430411,1
27,0.0740600501989374,0.0002,15.10359983999938,1
28,0.0741485098358428,0.0002,15.17065235022727,1
29,0.0733364109724465,0.0002,15.145826343471043,1
30,0.0724671474925362,0.0002,15.13688323563246,1
31,0.0735346460622726,0.0002,15.210576106501025,1
32,0.0740805234723162,0.0002,15.248076914665852,1
33,0.0723717465332829,0.0002,15.245948657832631,1
34,0.0731336568841839,0.0002,15.191941352910725,1
35,0.0735712582522099,0.0002,15.2038117769885,1
36,0.0732771272927817,0.0002,15.228298024386945,1
37,0.0725777376037423,0.0002,15.121900961829382,1
38,0.0720840419209239,0.0002,15.202097255839416,1
39,0.0724234299937097,0.0002,15.115662042651785,1
40,0.0716647807102982,0.0002,15.18630822750658,1
41,0.0729038655241527,0.0002,15.08183048148795,1
42,0.0723988764209322,0.0002,15.210150960088995,1
43,0.0716888011608383,0.0002,15.14928235725972,1
44,0.0717502365091649,0.0002,15.131934506984525,1
45,0.0719632106916149,0.0002,15.172214521117365,1
46,0.0718697443383165,0.0002,15.172977960364864,1
47,0.0715202701342578,0.0002,15.14857402306668,1
48,0.0727122398738813,0.0002,15.141614972741351,1
49,0.0714019319724918,0.0002,15.18354621858034,1
50,0.0712239173526811,0.0001,15.383915015265602,1
51,0.0703505504839491,0.0001,15.14462871531187,1
52,0.0693370764060775,0.0001,15.292818973227996,1
53,0.0690722153475969,0.0001,15.25600413913846,1
54,0.0701590870866681,0.0001,15.323031469137405,1
55,0.0697315719605672,0.0001,15.336280321616648,1
56,0.0705301268856124,0.0001,15.291648729978595,1
57,0.0688210538782105,0.0001,15.144867302572043,1
58,0.0687615546480854,0.0001,15.26478582405404,1
59,0.0690549698722834,0.0001,15.370689368898278,1
60,0.0684410509201559,0.0001,15.254801168867568,1
61,0.0686742718709577,0.0001,15.381137072411816,1
62,0.0688953866241592,0.0001,15.174059001400757,1
63,0.068795624308952,0.0001,15.37485027780391,1
64,0.0688285746491781,0.0001,15.16590126853903,1
65,0.069344054132995,0.0001,15.15790261785962,1
66,0.0686904148078791,0.0001,15.203261675022754,1
67,0.0681917116709864,0.0001,15.388526320539528,1
68,0.0689009773627956,0.0001,15.21422641341568,1
69,0.0679882878050355,0.0001,15.257593023766775,1
70,0.0679287725672273,0.0001,15.337345329231608,1
71,0.0678301527727358,0.0001,15.182712366562464,1
72,0.0681280961795018,0.0001,15.27799084031841,1
73,0.0681337304413318,0.0001,15.228409318194066,1
74,0.0668683487663764,0.0001,15.236947649828778,1
75,0.0681524427220372,5e-05,15.206624975320628,1
76,0.0667334858807596,5e-05,15.275140747172188,1
77,0.06796205681887,5e-05,15.221993667623154,1
78,0.0676508911765448,5e-05,15.323624243891246,1
79,0.0670444028876205,5e-05,15.198515567801712,1
80,0.0662450893680648,5e-05,15.20197063629182,1
81,0.066278327219557,5e-05,15.411903442236726,1
82,0.0668641121523215,5e-05,15.298958515824138,1
83,0.0671786542354834,5e-05,15.232628333038072,1
84,0.0664151626095028,5e-05,15.070899787026534,1
85,0.0673719195298629,5e-05,15.216613462967205,1
86,0.0673665256783513,5e-05,15.16640646989107,1
87,0.0664362927327061,5e-05,15.117921297233188,1
88,0.067467491336093,5e-05,15.286773965750037,1
89,0.0670328445289984,5e-05,15.189138910317029,1
90,0.0660879283700839,2.5e-05,15.204079863753806,1
91,0.0653393026625756,2.5e-05,15.187055388096338,1
92,0.0664223323732909,2.5e-05,15.220071602022806,1
93,0.0658669428217529,2.5e-05,15.24138071762756,1
94,0.0651740016471041,2.5e-05,15.175134383815909,1
95,0.0662798767190168,2.5e-05,15.10747084774554,1
96,0.0659351208348675,2.5e-05,15.10583036448618,1
97,0.0660809868633156,2.5e-05,15.318064568122258,1
98,0.0657782205703235,2.5e-05,15.217408767973454,1
99,0.0662742150523284,2.5e-05,15.13418446000347,1
100,0.0652892605429238,2.5e-05,15.240181806453853,1
101,0.0670909014481462,3.125e-06,15.574345402349568,2
102,0.0664112555800544,3.125e-06,15.48322080818072,2
