,mse,lr,PSNR,phase
1,0.0405489011284183,0.1,15.597785943141382,1
2,0.0096791926132259,0.1,15.513322057745958,1
3,0.0096632145144337,0.1,15.668465139363184,1
4,0.0095183877548312,0.1,15.512809119156442,1
5,0.0094561388661317,0.1,15.701593877942903,1
6,0.009307262405534,0.1,15.64881908086335,1
7,0.0093627266731916,0.1,15.615643260326364,1
8,0.0094396484486174,0.1,15.50492043209777,1
9,0.0092747161055312,0.1,15.746630979582326,1
10,0.0094230503629089,0.1,15.422428748007423,1
11,0.0095942565696496,0.1,15.571946951534455,1
12,0.0091976985591007,0.01,15.508913434040045,1
13,0.0093209710812159,0.01,15.622612951942434,1
14,0.0095025606946471,0.01,15.677494933302674,1
15,0.0092419575552876,0.01,15.65715616307052,1
16,0.0092751434547644,0.01,15.584782302639312,1
17,0.0092523204180978,0.01,15.650962221074424,1
18,0.0091849307474844,0.01,15.66392561599035,1
19,0.0093101897715207,0.01,15.715004647296425,1
20,0.0092950582814713,0.01,15.623554146196396,1
21,0.0094124561760063,0.01,15.717633198775744,1
22,0.0092550840813155,0.01,15.623804402362907,1
23,0.0093993151596948,0.01,15.63916240408799,1
24,0.0093034506300646,0.001,15.733541576364402,1
25,0.0091530167698567,0.001,15.676264609812105,1
26,0.009162527499903,0.001,15.65796297686673,1
27,0.009259922457311,0.001,15.683971399388128,1
28,0.0093567081197511,0.001,15.637408820054146,1
29,0.0092375335539234,0.001,15.641197522723036,1
30,0.0093667998581248,0.001,15.652607864504605,1
31,0.0093111502133787,0.0001,16.583840091596688,2
32,0.0092983758781644,1e-05,16.594131115341426,2
