epoch,mse,lr,PSNR
1,0.03495177385561606,0.0002,15.365218944955672
2,0.012818809553031243,0.0002,15.774017297131513
3,0.011524123523165198,0.0002,15.754358760148568
4,0.011092586990664987,0.0002,15.640757512256476
5,0.010793375709623682,0.0002,15.297275439468217
6,0.010312564862782465,0.0002,15.637470373117708
7,0.009972509562823117,0.0002,15.50086816143203
8,0.009820795426254763,0.0002,15.520588525773306
9,0.010180327603045632,0.0002,15.711538031641041
10,0.00993798143577342,0.0002,15.662155132878759
11,0.009489387922062009,0.0002,15.201667479831428
12,0.009706638707761086,0.0002,15.514757047988894
13,0.009470128454267979,0.0002,15.595242687350343
14,0.009581180955922487,0.0002,15.552110929652107
15,0.009560284469568846,0.0002,15.560835534515325
16,0.00958688156314048,0.0002,15.410275561383811
17,0.009288435993606554,0.0002,15.422054918904765
18,0.00955802130092885,0.0002,15.584392765106102
19,0.009365844439861238,0.0002,15.532893430168015
20,0.009194129886215223,0.0002,15.904020612574117
21,0.009279143092605998,0.0002,15.777167600210339
22,0.009421456596065386,0.0002,15.224811059932136
23,0.00931138473142888,0.0002,15.68852464216451
24,0.009189847409359965,0.0002,15.732015089475842
25,0.009322327333411165,0.0002,15.65289356099963
26,0.009249902613387973,0.0002,15.505194860364478
27,0.00926511278193371,0.0002,15.800532081614554
28,0.009289053460473524,0.0002,15.348162635727652
29,0.009519942817004287,0.0002,15.90882295217012
30,0.009230112565644816,0.0002,15.537122968642251
31,0.009410041722231637,0.0002,15.888015921427959
32,0.009273948832688964,0.0002,15.59368506208171
33,0.009329714931036327,0.0002,15.731148070027649
34,0.009234940130994016,0.0002,15.811135843640622
35,0.009247774322170253,0.0002,15.495764362165033
36,0.008989757392555475,0.0002,15.740663974867523
37,0.00905668479846973,0.0002,15.60260328179554
38,0.009219224601253575,0.0002,15.477360892501935
39,0.009404579350980474,0.0002,15.45818079927564
40,0.009111557886296627,0.0002,15.402204588654792
41,0.009454099096211732,0.0002,15.461404303502727
42,0.009287613197503722,0.0002,15.60734763718974
43,0.00925484467663017,0.0002,15.569416440883279
44,0.009281708155849985,0.0002,15.82676427939339
45,0.009071484682898895,0.0002,15.810764928221568
46,0.009303071673082955,0.0002,15.549327413239737
47,0.009349317171190884,0.0002,15.609151806323583
48,0.009234285338179153,0.0002,15.597294133781462
49,0.009080915967477303,0.0002,15.116424249423313
50,0.009370932328131269,0.0001,15.880364665277058
51,0.009099906228263588,0.0001,15.68538977950223
52,0.009198177852393949,0.0001,15.718822938806293
53,0.009443557784691746,0.0001,15.437928155144549
54,0.009219118147431052,0.0001,15.592681520521168
55,0.008938610371129186,0.0001,15.67471725855171
56,0.009065019834202295,0.0001,15.48564402780231
57,0.009152636981989239,0.0001,15.768590106820701
58,0.009050850770162308,0.0001,15.632866022146247
59,0.00900569046829261,0.0001,15.4707585954566
60,0.009194788194316275,0.0001,15.627572118062139
61,0.008931753463020511,0.0001,15.762305350938194
62,0.009168838022970686,0.0001,15.79370239027565
63,0.009280249640783843,0.0001,15.776499140058597
64,0.00924589762500688,0.0001,15.603054622014087
65,0.009325549344294796,0.0001,15.707511268280575
66,0.009222859023686717,0.0001,15.832608428351419
67,0.009146999823404294,0.0001,15.607084522654011
68,0.008994415845247168,0.0001,15.738880543432842
69,0.00914931864313343,0.0001,15.850721059045803
70,0.00904834740703889,0.0001,15.484462737998376
71,0.009149674536185521,0.0001,15.639079780351054
72,0.009159688636952755,0.0001,15.731177690053341
73,0.009115251849460252,0.0001,15.505630867999754
74,0.008965864028854697,0.0001,15.676932673662511
75,0.009139526087571593,5e-05,15.69618553961116
76,0.00931754463589659,5e-05,15.689446120272146
77,0.009213230937865436,5e-05,15.624287915808216
78,0.009115654819955429,5e-05,15.759216040876668
79,0.009103213153852551,5e-05,15.560720055744392
80,0.008966121219975106,5e-05,15.683583895607292
81,0.00896861573096876,5e-05,15.630293831513457
82,0.008918071750040148,5e-05,15.627577805197214
83,0.00930734455366345,5e-05,15.743702649801092
84,0.00923956403800962,5e-05,15.612009406342887
85,0.008774815529000526,5e-05,15.714971965797213
86,0.00928222720383429,5e-05,15.639994750609112
87,0.009246720612852597,5e-05,15.766337666198085
88,0.009022992633867497,5e-05,15.637900331433672
89,0.009155162126191106,5e-05,15.70340185701223
90,0.009170381836227927,2.5e-05,15.630504013840016
91,0.00907337601643567,2.5e-05,15.694380674968512
92,0.009142513176901084,2.5e-05,15.678123634717624
93,0.009200550588395666,2.5e-05,15.718675143082478
94,0.009213882973235027,2.5e-05,15.61241161773865
95,0.009180337994122038,2.5e-05,15.659638621192238
96,0.009140014611915047,2.5e-05,15.716246382336978
97,0.009038044724102114,2.5e-05,15.711728599658485
98,0.009031555441883849,2.5e-05,15.724134600215864
99,0.009045573398836102,2.5e-05,15.779493675386432
100,0.00910513425318926,2.5e-05,15.728044558127145
