epoch,mse,lr,PSNR,phase
1,0.034951773855616,0.0002,15.365218944955672,1
2,0.0128188095530312,0.0002,15.774017297131511,1
3,0.0115241235231651,0.0002,15.754358760148568,1
4,0.0110925869906649,0.0002,15.640757512256476,1
5,0.0107933757096236,0.0002,15.297275439468216,1
6,0.0103125648627824,0.0002,15.637470373117708,1
7,0.0099725095628231,0.0002,15.50086816143203,1
8,0.0098207954262547,0.0002,15.520588525773306,1
9,0.0101803276030456,0.0002,15.71153803164104,1
10,0.0099379814357734,0.0002,15.66215513287876,1
11,0.009489387922062,0.0002,15.201667479831428,1
12,0.009706638707761,0.0002,15.514757047988894,1
13,0.0094701284542679,0.0002,15.595242687350344,1
14,0.0095811809559224,0.0002,15.552110929652107,1
15,0.0095602844695688,0.0002,15.560835534515324,1
16,0.0095868815631404,0.0002,15.410275561383813,1
17,0.0092884359936065,0.0002,15.422054918904765,1
18,0.0095580213009288,0.0002,15.584392765106102,1
19,0.0093658444398612,0.0002,15.532893430168016,1
20,0.0091941298862152,0.0002,15.904020612574117,1
21,0.0092791430926059,0.0002,15.77716760021034,1
22,0.0094214565960653,0.0002,15.224811059932136,1
23,0.0093113847314288,0.0002,15.68852464216451,1
24,0.0091898474093599,0.0002,15.732015089475842,1
25,0.0093223273334111,0.0002,15.65289356099963,1
26,0.0092499026133879,0.0002,15.505194860364478,1
27,0.0092651127819337,0.0002,15.800532081614554,1
28,0.0092890534604735,0.0002,15.348162635727652,1
29,0.0095199428170042,0.0002,15.90882295217012,1
30,0.0092301125656448,0.0002,15.537122968642253,1
31,0.0094100417222316,0.0002,15.88801592142796,1
32,0.0092739488326889,0.0002,15.59368506208171,1
33,0.0093297149310363,0.0002,15.731148070027649,1
34,0.009234940130994,0.0002,15.811135843640622,1
35,0.0092477743221702,0.0002,15.495764362165032,1
36,0.0089897573925554,0.0002,15.740663974867523,1
37,0.0090566847984697,0.0002,15.60260328179554,1
38,0.0092192246012535,0.0002,15.477360892501936,1
39,0.0094045793509804,0.0002,15.45818079927564,1
40,0.0091115578862966,0.0002,15.402204588654792,1
41,0.0094540990962117,0.0002,15.461404303502729,1
42,0.0092876131975037,0.0002,15.60734763718974,1
43,0.0092548446766301,0.0002,15.56941644088328,1
44,0.0092817081558499,0.0002,15.82676427939339,1
45,0.0090714846828988,0.0002,15.810764928221568,1
46,0.0093030716730829,0.0002,15.549327413239736,1
47,0.0093493171711908,0.0002,15.609151806323585,1
48,0.0092342853381791,0.0002,15.597294133781462,1
49,0.0090809159674773,0.0002,15.116424249423313,1
50,0.0093709323281312,0.0001,15.880364665277058,1
51,0.0090999062282635,0.0001,15.68538977950223,1
52,0.0091981778523939,0.0001,15.718822938806293,1
53,0.0094435577846917,0.0001,15.437928155144547,1
54,0.009219118147431,0.0001,15.592681520521168,1
55,0.0089386103711291,0.0001,15.67471725855171,1
56,0.0090650198342022,0.0001,15.48564402780231,1
57,0.0091526369819892,0.0001,15.7685901068207,1
58,0.0090508507701623,0.0001,15.632866022146247,1
59,0.0090056904682926,0.0001,15.4707585954566,1
60,0.0091947881943162,0.0001,15.62757211806214,1
61,0.0089317534630205,0.0001,15.762305350938194,1
62,0.0091688380229706,0.0001,15.79370239027565,1
63,0.0092802496407838,0.0001,15.776499140058595,1
64,0.0092458976250068,0.0001,15.603054622014088,1
65,0.0093255493442947,0.0001,15.707511268280577,1
66,0.0092228590236867,0.0001,15.83260842835142,1
67,0.0091469998234042,0.0001,15.607084522654011,1
68,0.0089944158452471,0.0001,15.738880543432842,1
69,0.0091493186431334,0.0001,15.850721059045805,1
70,0.0090483474070388,0.0001,15.484462737998376,1
71,0.0091496745361855,0.0001,15.639079780351054,1
72,0.0091596886369527,0.0001,15.73117769005334,1
73,0.0091152518494602,0.0001,15.505630867999754,1
74,0.0089658640288546,0.0001,15.676932673662511,1
75,0.0091395260875715,5e-05,15.69618553961116,1
76,0.0093175446358965,5e-05,15.689446120272146,1
77,0.0092132309378654,5e-05,15.624287915808216,1
78,0.0091156548199554,5e-05,15.759216040876668,1
79,0.0091032131538525,5e-05,15.560720055744392,1
80,0.0089661212199751,5e-05,15.683583895607292,1
81,0.0089686157309687,5e-05,15.630293831513455,1
82,0.0089180717500401,5e-05,15.627577805197214,1
83,0.0093073445536634,5e-05,15.743702649801092,1
84,0.0092395640380096,5e-05,15.612009406342889,1
85,0.0087748155290005,5e-05,15.714971965797211,1
86,0.0092822272038342,5e-05,15.639994750609112,1
87,0.0092467206128525,5e-05,15.766337666198083,1
88,0.0090229926338674,5e-05,15.637900331433672,1
89,0.0091551621261911,5e-05,15.70340185701223,1
90,0.0091703818362279,2.5e-05,15.630504013840016,1
91,0.0090733760164356,2.5e-05,15.694380674968512,1
92,0.009142513176901,2.5e-05,15.678123634717624,1
93,0.0092005505883956,2.5e-05,15.718675143082478,1
94,0.009213882973235,2.5e-05,15.61241161773865,1
95,0.009180337994122,2.5e-05,15.659638621192238,1
96,0.009140014611915,2.5e-05,15.716246382336978,1
97,0.0090380447241021,2.5e-05,15.711728599658484,1
98,0.0090315554418838,2.5e-05,15.724134600215864,1
99,0.0090455733988361,2.5e-05,15.779493675386432,1
100,0.0091051342531892,2.5e-05,15.728044558127143,1
101,0.0091147969957857,3.125e-06,16.724686615324835,2
102,0.0090160926537416,3.125e-06,16.65185105672388,2
