epoch,mse,lr,PSNR
1,0.0405489011284183,0.1,15.597785943141382
2,0.009679192613225942,0.1,15.513322057745958
3,0.009663214514433754,0.1,15.668465139363185
4,0.009518387754831244,0.1,15.512809119156442
5,0.009456138866131796,0.1,15.701593877942905
6,0.009307262405534,0.1,15.64881908086335
7,0.009362726673191669,0.1,15.615643260326365
8,0.009439648448617435,0.1,15.50492043209777
9,0.009274716105531244,0.1,15.746630979582326
10,0.009423050362908957,0.1,15.422428748007425
11,0.00959425656964966,0.1,15.571946951534457
12,0.009197698559100721,0.010000000000000002,15.508913434040045
13,0.009320971081215962,0.010000000000000002,15.622612951942434
14,0.009502560694647185,0.010000000000000002,15.677494933302674
15,0.00924195755528761,0.010000000000000002,15.65715616307052
16,0.009275143454764403,0.010000000000000002,15.584782302639313
17,0.00925232041809781,0.010000000000000002,15.650962221074423
18,0.009184930747484459,0.010000000000000002,15.66392561599035
19,0.009310189771520741,0.010000000000000002,15.715004647296423
20,0.009295058281471332,0.010000000000000002,15.623554146196396
21,0.009412456176006327,0.010000000000000002,15.717633198775744
22,0.009255084081315527,0.010000000000000002,15.623804402362907
23,0.009399315159694822,0.010000000000000002,15.63916240408799
24,0.00930345063006469,0.0010000000000000002,15.733541576364402
25,0.009153016769856798,0.0010000000000000002,15.676264609812103
26,0.009162527499903067,0.0010000000000000002,15.65796297686673
27,0.009259922457311083,0.0010000000000000002,15.683971399388128
28,0.009356708119751192,0.0010000000000000002,15.637408820054146
29,0.009237533553923462,0.0010000000000000002,15.641197522723035
