strategy,PSNR,SSIM
Bicubic,15.064190875339023,0.41349809049519776
1_synthetic,15.23913998467975,0.40027933898823664
2_real_paired,15.707623264332158,0.39564515753945756
3_high_order,14.895668271772573,0.39081694633194436
4_gLR,15.677439261697671,0.4531678366700608
